name,region,trailhead_lat,trailhead_lon,trailhead_elevation,highest_point_elevation,distance_miles,elevation_gain_ft,trail_type,difficulty,technical_class,exposure_level,terrain_types,features,typical_crowd_level,dogs_allowed,fee_required,best_months,estimated_time_hours,route_description
Mt. Bierstadt,Front Range,39.669800,-105.731700,11669,14065,7.0,2700,out-and-back,moderate,1,3,alpine|tundra,summit|views,4,TRUE,FALSE,6|7|8|9,5.0,Classic 14er with well-marked trail. Exposed ridge near summit.
Grays Peak,Front Range,39.637100,-105.816400,11280,14278,8.0,3000,out-and-back,moderate,1,3,alpine|tundra,summit|views,5,TRUE,FALSE,6|7|8|9,6.0,Popular 14er. Often combined with Torreys Peak. Steep final pitch.
Torreys Peak,Front Range,39.637100,-105.816400,11280,14275,8.5,3100,out-and-back,moderate,2,4,alpine|tundra,summit|views,5,TRUE,FALSE,6|7|8|9,6.5,Accessed from Grays Peak trailhead. Class 2 scramble near summit.
Quandary Peak,Front Range,39.397200,-106.106300,10850,14271,6.75,3450,out-and-back,moderate,1,2,alpine|tundra,summit|views,5,TRUE,FALSE,6|7|8|9,5.5,One of the easier 14ers. Well-marked trail throughout.
Sky Pond,Rocky Mountain NP,40.311400,-105.651600,9240,10900,9.2,1750,out-and-back,moderate,2,2,forest|alpine,lake|waterfall|views,4,FALSE,TRUE,6|7|8|9|10,5.5,Stunning alpine lake. Passes Timberline Falls and Lake of Glass.
Emerald Lake,Rocky Mountain NP,40.318500,-105.642700,9475,10080,3.2,650,out-and-back,easy,1,1,forest|alpine,lake|views,5,FALSE,TRUE,5|6|7|8|9|10,2.5,Popular family-friendly hike past Nymph and Dream Lakes.
Chasm Lake,Rocky Mountain NP,40.274900,-105.555400,9400,11823,8.4,2400,out-and-back,hard,1,3,forest|alpine,lake|views,3,FALSE,TRUE,7|8|9,6.0,Dramatic lake below Longs Peak east face. Sustained elevation gain.
Lake Isabelle,Indian Peaks,40.073800,-105.608900,10500,10868,4.4,350,out-and-back,easy,1,1,forest|alpine,lake|wildflowers,3,TRUE,FALSE,6|7|8|9,3.0,Easy alpine lake hike with wildflowers in summer. Family-friendly.
Blue Lake,Indian Peaks,40.054000,-105.617200,10480,11740,4.5,1300,out-and-back,moderate,1,2,forest|alpine,lake|views,2,TRUE,FALSE,7|8|9,4.0,Beautiful cirque lake. Steeper than Lake Isabelle but less crowded.
Lost Lake,Indian Peaks,39.991200,-105.607400,10340,11130,6.0,800,out-and-back,moderate,1,1,forest|alpine,lake|wildflowers,2,TRUE,FALSE,6|7|8|9,4.5,Less crowded alternative to Lake Isabelle. Multiple lakes in area.
